floor,image,room,room o,view,points
13,1,5,5,"N13,W13","101,88 336,90 338,251 102,252"
13,1,6,6,N13,"337,91 653,92 656,256 338,255"
13,1,1,1,"N13,E13","988,271 651,274 653,88 880,90 889,95 898,106 904,114"
13,1,4,4,"S13,W13","100,291 338,293 337,456 102,456"
13,1,3,3,S13,"597,473 361,470 360,296 624,299 618,360 677,362 676,474"
13,1,2,2,"S13,E13","1019,473 940,472 703,469 702,295 1002,296 1072,430 1075,449 1071,462 1051,468"
14,1,5,5,"N14,W14","101,88 336,90 338,251 102,252"
14,1,6,6,N14,"337,91 653,92 656,256 338,255"
14,1,1,1,"N14,E14","988,271 651,274 653,88 880,90 889,95 898,106 904,114"
14,1,4,4,"S14,W14","100,291 338,293 337,456 102,456"
14,1,3,3,S14,"597,473 361,470 360,296 624,299 618,360 677,362 676,474"
14,1,2,2,"S14,E14","1019,473 940,472 703,469 702,295 1002,296 1072,430 1075,449 1071,462 1051,468"
15,1,5,5,"N15,W15","101,88 336,90 338,251 102,252"
15,1,6,6,N15,"337,91 653,92 656,256 338,255"
15,1,1,1,"N15,E15","988,271 651,274 653,88 880,90 889,95 898,106 904,114"
15,1,4,4,"S15,W15","100,291 338,293 337,456 102,456"
15,1,3,3,S15,"597,473 361,470 360,296 624,299 618,360 677,362 676,474"
15,1,2,2,"S15,E15","1019,473 940,472 703,469 702,295 1002,296 1072,430 1075,449 1071,462 1051,468"
16,15,,,,
17,16,,,,
